class,alpha,n_calibration,rank,finite_threshold_possible
Normal,0.05,2893,2750,True
TWF,0.05,14,15,False
HDF,0.05,32,32,True
PWF,0.05,28,28,True
OSF,0.05,25,25,True
Normal,0.1,2893,2605,True
TWF,0.1,14,14,True
HDF,0.1,32,30,True
PWF,0.1,28,27,True
OSF,0.1,25,24,True
Normal,0.2,2893,2316,True
TWF,0.2,14,12,True
HDF,0.2,32,27,True
PWF,0.2,28,24,True
OSF,0.2,25,21,True
