class,support,accuracy_before,accuracy_after
HDF,53,0.0,0.9056603773584906
Normal,4821,0.8489939846504875,0.9995851483094793
OSF,42,0.0,1.0
PWF,47,0.0,1.0
TWF,23,0.21739130434782608,0.13043478260869565
