paso,loss_antes,grad_norm,change_norm,train_accuracy
1,1.1034865736961366,1.4319229543209075,1.2290213108062744,0.9669073224067688
2,0.3861864864826202,0.7766267716884613,1.0100667476654053,0.9669073224067688
3,0.21974108442664148,0.1671298887580633,0.41959404945373535,0.9669073224067688
4,0.20395178738981484,0.1508180733770132,0.3370906114578247,0.9669073224067688
5,0.19140214808285236,0.12812650203704834,0.27244386076927185,0.9669073224067688
6,0.18216252997517585,0.11459247916936874,0.2553083598613739,0.9669073224067688
7,0.17338440120220183,0.11476092822849751,0.29305848479270935,0.9669073224067688
8,0.16534516029059887,0.10544928722083569,0.2976369857788086,0.9669073224067688
9,0.15618257522583007,0.10971632078289986,0.3289901316165924,0.9669073224067688
10,0.1488791760057211,0.1134046796709299,0.3041097819805145,0.9669073224067688
11,0.14214780926704407,0.1186116375029087,0.31032469868659973,0.9669073224067688
12,0.13237788267433642,0.10426798164844513,0.2996627688407898,0.9669073224067688
13,0.12593372724950314,0.10886557847261429,0.3082265555858612,0.9669073224067688
14,0.11968251094222068,0.11864045858383179,0.27288174629211426,0.9675090312957764
15,0.11593379080295563,0.11284679286181927,0.2691161036491394,0.9685118198394775
16,0.11046929880976677,0.1217733845114708,0.26597651839256287,0.9701163172721863
17,0.10637488514184952,0.12583479657769203,0.26551419496536255,0.9705174565315247
18,0.10247787162661552,0.12728467918932437,0.26732754707336426,0.9713196754455566
19,0.09599168002605438,0.12057687379419804,0.24914231896400452,0.9719213843345642
20,0.09218039717525243,0.12451278045773506,0.23122210800647736,0.9729241728782654
21,0.09022723585367202,0.12976976931095124,0.23898321390151978,0.9733253121376038
22,0.085116464830935,0.12350124940276146,0.2531643509864807,0.9741275310516357
23,0.0832828339189291,0.14185208901762963,0.2530747950077057,0.9749298095703125
24,0.0803378576412797,0.134988734126091,0.23214556276798248,0.9755314588546753
25,0.07718585375696421,0.13542808517813681,0.23908714950084686,0.9761331677436829
26,0.07411570642143488,0.13452172912657262,0.2595605254173279,0.9773365259170532
27,0.0706102061085403,0.1486858706921339,0.22436682879924774,0.9773365259170532
